frequency,amplitude
0.0,7.578613794436211e-12
0.05,1.150494039737738e-11
0.1,1.728224771950402e-11
0.15000000000000002,5.412469224140449e-12
0.2,1.8881450515035385e-11
0.25,3.3522589256102346e-12
0.30000000000000004,1.917765249395852e-11
0.35000000000000003,1.2157446944591054e-11
0.4,2.3978722904735716e-11
0.45,1.1737986218816544e-12
0.5,1.1534618533831078e-11
0.55,5.722407519803591e-12
0.6000000000000001,1.5290786944817067e-11
0.65,3.001843371659745e-11
0.7000000000000001,2.2770938577047135e-11
0.75,1.5641828245818163e-11
0.8,6.878549844929321e-12
0.8500000000000001,3.066256412443565e-11
0.9,3.283757547077248e-11
0.9500000000000001,1.5407203563661228e-11
1.0,1.3158663288925654e-10
1.05,5.746787014061167e-11
1.1,7.835664930183238e-12
1.1500000000000001,1.0661050850896699e-11
1.2000000000000002,2.149001011122389e-11
1.25,8.329949938353419e-12
1.3,2.1407865298375087e-11
1.35,1.6048113460695704e-11
1.4000000000000001,1.7435366727570163e-11
1.4500000000000002,2.003738485244719e-11
1.5,1.3117404227956764e-11
1.55,1.5517529251725003e-11
1.6,1.0263392853796164e-11
1.6500000000000001,1.6087683493468582e-11
1.7000000000000002,2.9041632474993893e-11
1.75,7.285176476056453e-12
1.8,1.2345837151336466e-11
1.85,8.413279520528616e-12
1.9000000000000001,2.0428694919680976e-11
1.9500000000000002,1.8060960579034512e-11
2.0,3.848271430177371e-11
2.0500000000000003,2.434567805272251e-11
2.1,4.987052176146953e-11
2.15,8.39330462765006e-11
2.2,1.0090489633514054e-10
2.25,7.81447048691297e-11
2.3000000000000003,2.0494673056672478e-11
2.35,2.060061535614958e-11
2.4000000000000004,3.4862992618047024e-11
2.45,1.2657265602684873e-11
2.5,2.6825805754978322e-11
2.5500000000000003,4.3572961607144574e-11
2.6,8.284570471751384e-12
2.6500000000000004,1.0833795240088255e-11
2.7,4.81716894833103e-12
2.75,1.7626325353194974e-11
2.8000000000000003,4.500318812355781e-11
2.85,4.312537647194982e-11
2.9000000000000004,2.1043711605032444e-11
2.95,5.601448622359448e-11
3.0,3.627823893948041e-11
3.0500000000000003,5.899500710447381e-11
3.1,2.6469173906819837e-11
3.1500000000000004,1.0821458168236822e-10
3.2,9.861768527812345e-11
3.25,1.2185778142729246e-10
3.3000000000000003,1.693593188323114e-10
3.35,1.4577605756850353e-10
3.4000000000000004,1.331712871231933e-10
3.45,1.5004290947467317e-10
3.5,4.140405489221062e-11
3.5500000000000003,1.0968178749579164e-10
3.6,6.335773921650238e-11
3.6500000000000004,4.387554766768871e-11
3.7,5.987282140611503e-11
3.75,3.447546550165369e-11
3.8000000000000003,5.526765340755177e-11
3.85,3.891041007425532e-11
3.9000000000000004,2.0130865842133887e-11
3.95,5.74780757175677e-11
4.0,5.154413226316425e-11
4.05,6.588337696518664e-11
4.1000000000000005,6.22577298530335e-11
4.15,6.044820771078418e-11
4.2,7.003396003647076e-11
4.25,3.407799660709285e-11
4.3,2.2073802309504065e-11
4.3500000000000005,2.5867947545144915e-11
4.4,7.441805543720445e-12
4.45,1.2876278191949282e-11
4.5,4.271675991098761e-11
4.55,2.7251622745683575e-11
4.6000000000000005,1.2640796680373764e-11
4.65,1.6264669044483076e-11
4.7,2.3104069955209407e-11
4.75,2.413622664743629e-11
4.800000000000001,3.855714724653033e-11
4.8500000000000005,3.877328514256968e-12
4.9,1.8844613367603505e-12
4.95,3.2169399247812176e-11
5.0,1.3972670752731443e-11
5.050000000000001,2.4319848824702408e-11
5.1000000000000005,2.2421585843286038e-11
5.15,5.674894620223848e-12
5.2,2.113372953604632e-11
5.25,2.6586776621120227e-11
5.300000000000001,1.553660814204154e-11
5.3500000000000005,9.853987135054597e-12
5.4,3.5952128088304232e-12
5.45,1.8925587149006766e-11
5.5,2.5169230058963124e-11
5.550000000000001,4.003143984445815e-11
5.6000000000000005,1.4706548786683725e-11
5.65,1.0783139611774123e-11
5.7,2.2619590185317044e-11
5.75,1.0191577833625889e-11
5.800000000000001,3.393968896562216e-11
5.8500000000000005,2.531619528847517e-11
5.9,1.1104569342081521e-11
5.95,7.891713099698976e-12
6.0,4.827200831454871e-11
6.050000000000001,2.4635957550564902e-11
6.1000000000000005,3.095614688259282e-11
6.15,7.69391775654444e-12
6.2,9.348420570727348e-12
6.25,2.711658491756865e-11
6.300000000000001,4.635059264792021e-11
6.3500000000000005,3.261721316398663e-11
6.4,1.3022652471372478e-11
6.45,1.4490838388851847e-11
6.5,3.2584885780283506e-11
6.550000000000001,5.504833290924196e-11
6.6000000000000005,4.8327810909075085e-11
6.65,2.2758462617281404e-11
6.7,1.665348678527888e-11
6.75,1.8935095477074603e-11
6.800000000000001,4.536482475440698e-11
6.8500000000000005,4.502066971162825e-11
6.9,1.5866718190103244e-11
6.95,1.8297686328353912e-11
7.0,5.108321779951779e-11
7.050000000000001,6.372313687959065e-11
7.1000000000000005,5.986054316764175e-11
7.15,2.6081235643426667e-11
7.2,1.51909661743989e-11
